old_doc,old_section,old_title,new_doc,new_section,note
analysis,Global Mandates,"Global Mandates — Code Paradigms and Conventions",PRD_3_Analyze.md,§A0,"package list moved to §M9.1"
analysis,§1,"Overview and Scope",PRD_3_Analyze.md,§A1,
analysis,§1.1,"Purpose",PRD_3_Analyze.md,§A1.1,
analysis,§1.2,"Relationship to Existing App",PRD_3_Analyze.md,§A1.2,
analysis,§1.3,"Target User",PRD_3_Analyze.md,§A1.3,
analysis,§1.4,"Study Type Framing — The Central Design Principle",PRD_3_Analyze.md,§A1.4,
analysis,§1.5,"Scope Boundary",PRD_3_Analyze.md,§A1.5,
analysis,§2,"User Stories",PRD_3_Analyze.md,§A2,
analysis,§2.1,"Archetype A — The Clinician",PRD_3_Analyze.md,§A2.1,
analysis,§2.2,"Archetype B — The Clinician-Researcher",PRD_3_Analyze.md,§A2.2,
analysis,§2.3,"Archetype C — The Biostatistician",PRD_3_Analyze.md,§A2.3,
analysis,§3,"Data Contract",PRD_3_Analyze.md,§A3,
analysis,§3.1,"What Enters the Analysis Module",PRD_3_Analyze.md,§A3.1,
analysis,§3.2,"Dataset Signature",PRD_3_Analyze.md,§A3.2,
analysis,§3.3,"Fields Added to `shared_state`",PRD_3_Analyze.md,§A3.3,
analysis,§3.4,"Dataset Freeze Behavior",PRD_3_Analyze.md,§A3.4,
analysis,§3.5,"The `analysis_spec` Object",PRD_3_Analyze.md,§A3.5,
analysis,§3.6,"The `analysis_result` Object",PRD_3_Analyze.md,§A3.6,
analysis,§3.7,"Table 1 Behavior by Study Type",PRD_3_Analyze.md,§A3.7,
analysis,§3.8,"Export Folder Structure",PRD_3_Analyze.md,§A3.8,
analysis,§4,"Analytic Scope",PRD_3_Analyze.md,§A4,
analysis,§4.1,"Model and Method Inventory",PRD_3_Analyze.md,§A4.1,
analysis,§4.2,"P-value and Confidence Interval Methods",PRD_3_Analyze.md,§A4.2,
analysis,§4.3,"Full Package Dependencies",PRD_3_Analyze.md,§A4.3,
analysis,§4.4,"Hard Constraints — Model Availability",PRD_3_Analyze.md,§A4.4,
analysis,§4.5,"Soft Nudges — Contextual Guidance",PRD_3_Analyze.md,§A4.5,
analysis,§4.6,"Computational Batching — Independent Run Buttons",PRD_3_Analyze.md,§A4.6,
analysis,§4.7,"Deferred to Future Versions",PRD_3_Analyze.md,§A4.7,
analysis,§5,"Workflow and Sequencing",PRD_3_Analyze.md,§A5,
analysis,§5.1,"Overview",PRD_3_Analyze.md,§A5.1,
analysis,§5.2,"Global UI Principles",PRD_3_Analyze.md,§A5.2,
analysis,§5.3,"Step-by-Step Specification",PRD_3_Analyze.md,§A5.3,
analysis,§5.4,"Stale State Propagation",PRD_3_Analyze.md,§A5.4,
analysis,§5.5,"Default Spec Population on Skip",PRD_3_Analyze.md,§A5.5,
analysis,§6,"Screen-by-Screen UI Specification",PRD_3_Analyze.md,§A6,
analysis,§6.1,"Purpose",PRD_3_Analyze.md,§A6.1,
analysis,§6.2,"Global UI Component Conventions",PRD_3_Analyze.md,§A6.2,
analysis,§6.3,"Step 1 — Setup",PRD_3_Analyze.md,§A6.3,
analysis,§6.4,"Step 2 — Table 1",PRD_3_Analyze.md,§A6.4,
analysis,§6.5,"Step 3 — Variable Investigation",PRD_3_Analyze.md,§A6.5,
analysis,§6.6,"Step 4 — Covariate Confirmation",PRD_3_Analyze.md,§A6.6,
analysis,§6.7,"Step 5 — Model Specification",PRD_3_Analyze.md,§A6.7,
analysis,§6.8,"Step 6 — Diagnostics",PRD_3_Analyze.md,§A6.8,
analysis,§6.9,"Step 7 — Results",PRD_3_Analyze.md,§A6.9,
analysis,§6.10,"Step 8 — Export",PRD_3_Analyze.md,§A6.10,
analysis,§7,"Statistical Specification per Model",PRD_3_Analyze.md,§A7,
analysis,§7.1,"General Principles Applied to All Models",PRD_3_Analyze.md,§A7.1,
analysis,§7.2,"Linear Regression",PRD_3_Analyze.md,§A7.2,
analysis,§7.3,"Logistic Regression",PRD_3_Analyze.md,§A7.3,
analysis,§7.4,"Linear Mixed Model",PRD_3_Analyze.md,§A7.4,
analysis,§7.5,"Logistic Mixed Model",PRD_3_Analyze.md,§A7.5,
analysis,§7.6,"Univariable Regression Screen",PRD_3_Analyze.md,§A7.6,
