file,line,old_ref,target_doc,new_ref,context
"CLAUDE.md",63,"§8.6",analysis,"§A8.6","├── service_analysis_pipeline.R     reset_analysis_pipeline(shared_state, from_step) — clears downstream state p"
"CLAUDE.md",99,"§3.5",analysis,"§A3.5","- `shared_state$analysis_spec` — named list: full declarative analysis specification (PRD §3.5)"
"CLAUDE.md",100,"§3.6",analysis,"§A3.6","- `shared_state$analysis_result` — named list: fitted objects, result tables, plots, summaries (PRD §3.6)"
"CLAUDE.md",254,"§4.2",analysis,"§A4.2","**Every p-value and CI in the app is computed in `R/stats_inference.R`. Never call `confint()`, `confint.default()`, `br"
"PRD/Codex proofing.md",5,"§4.2",analysis,"§A4.2","PRD §4.2: the same rules written as the spec."
"PRD/EDARK_Analysis_Build_Plan.md",15,"Global Mandates",analysis,"§A0","1. Add all packages from the PRD Global Mandates table to the DESCRIPTION file under `Imports:`"
"PRD/EDARK_Analysis_Build_Plan.md",16,"§12.1",analysis,"§A12.1","2. Create all file stubs listed in §12.1 — empty module shells (`ui` + `server` functions that return placeholder UI)"
"PRD/EDARK_Analysis_Build_Plan.md",26,"§8.6",analysis,"§A8.6","- `reset_analysis_pipeline(shared_state, from_step)` — clears downstream fields per §8.6"
"PRD/EDARK_Analysis_Build_Plan.md",28,"§8.2",analysis,"§A8.2","- `validate_analysis(spec, data, tier = ""full"", verbose = FALSE)` — implements all checks from §8.2, both tiers"
"PRD/EDARK_Analysis_Build_Plan.md",44,"§3.3",analysis,"§A3.3","- §3.3 (shared_state fields), §3.5 (analysis_spec structure), §3.6 (analysis_result structure)"
"PRD/EDARK_Analysis_Build_Plan.md",44,"§3.5",analysis,"§A3.5","- §3.3 (shared_state fields), §3.5 (analysis_spec structure), §3.6 (analysis_result structure)"
"PRD/EDARK_Analysis_Build_Plan.md",44,"§3.6",analysis,"§A3.6","- §3.3 (shared_state fields), §3.5 (analysis_spec structure), §3.6 (analysis_result structure)"
"PRD/EDARK_Analysis_Build_Plan.md",45,"§5.1",analysis,"§A5.1","- §5.1 (layout overview), §12.1 (file structure)"
"PRD/EDARK_Analysis_Build_Plan.md",45,"§12.1",analysis,"§A12.1","- §5.1 (layout overview), §12.1 (file structure)"
"PRD/EDARK_Analysis_Build_Plan.md",46,"§7.1",analysis,"§A7.1","- §7.1 (formula assembly, reference levels, complete cases)"
"PRD/EDARK_Analysis_Build_Plan.md",47,"§8.1–8.2",analysis,"§A8.1–A8.2","- §8.1–8.2 (validator architecture and checks)"
"PRD/EDARK_Analysis_Build_Plan.md",48,"§8.6",analysis,"§A8.6","- §8.6 (reset_analysis_pipeline)"
"PRD/EDARK_Analysis_Build_Plan.md",49,"Global Mandates",analysis,"§A0","- Global Mandates (DESCRIPTION Imports)"
"PRD/EDARK_Analysis_Build_Plan.md",56,"§5.3",analysis,"§A5.3","- `module_analysis_setup.R` — full implementation per §5.3 Step 1 and §6.3"
"PRD/EDARK_Analysis_Build_Plan.md",56,"§6.3",analysis,"§A6.3","- `module_analysis_setup.R` — full implementation per §5.3 Step 1 and §6.3"
"PRD/EDARK_Analysis_Build_Plan.md",71,"§5.3",analysis,"§A5.3","- All role columns work: outcome, exposure (single-select), candidate, cluster (multi-select). *(Subject ID and time rol"
"PRD/EDARK_Analysis_Build_Plan.md",76,"§1.4",analysis,"§A1.4","- Study type badge derives correctly from all four combinations (§1.4)"
